Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-01-01,FR,France,EURO,0,8709926,0,124165
2022-01-02,FR,France,EURO,1140724,9850650,1315,125480
2022-01-03,FR,France,EURO,0,9850650,0,125480
2022-01-04,FR,France,EURO,0,9850650,0,125480
2022-01-05,FR,France,EURO,0,9850650,0,125480
2022-01-06,FR,France,EURO,0,9850650,0,125480
2022-01-07,FR,France,EURO,0,9850650,0,125480
2022-01-08,FR,France,EURO,0,9850650,0,125480
2022-01-09,FR,France,EURO,1726217,11576867,1484,126964
2022-01-10,FR,France,EURO,0,11576867,0,126964
2022-01-11,FR,France,EURO,0,11576867,0,126964
2022-01-12,FR,France,EURO,0,11576867,0,126964
2022-01-13,FR,France,EURO,0,11576867,0,126964
2022-01-14,FR,France,EURO,0,11576867,0,126964
2022-01-15,FR,France,EURO,0,11576867,0,126964
2022-01-16,FR,France,EURO,1961912,13538779,1499,128463
2022-01-17,FR,France,EURO,0,13538779,0,128463
2022-01-18,FR,France,EURO,0,13538779,0,128463
2022-01-19,FR,France,EURO,0,13538779,0,128463
2022-01-20,FR,France,EURO,0,13538779,0,128463
2022-01-21,FR,France,EURO,0,13538779,0,128463
2022-01-22,FR,France,EURO,0,13538779,0,128463
2022-01-23,FR,France,EURO,2417043,15955822,1658,130121
2022-01-24,FR,France,EURO,0,15955822,0,130121
2022-01-25,FR,France,EURO,0,15955822,0,130121
2022-01-26,FR,France,EURO,0,15955822,0,130121
2022-01-27,FR,France,EURO,0,15955822,0,130121
2022-01-28,FR,France,EURO,0,15955822,0,130121
2022-01-29,FR,France,EURO,0,15955822,0,130121
2022-01-30,FR,France,EURO,2329374,18285196,1933,132054
2022-01-31,FR,France,EURO,0,18285196,0,132054
2022-02-01,FR,France,EURO,0,18285196,0,132054
2022-02-02,FR,France,EURO,0,18285196,0,132054
2022-02-03,FR,France,EURO,0,18285196,0,132054
2022-02-04,FR,France,EURO,0,18285196,0,132054
2022-02-05,FR,France,EURO,0,18285196,0,132054
2022-02-06,FR,France,EURO,1707588,19992784,1996,134050
2022-02-07,FR,France,EURO,0,19992784,0,134050
2022-02-08,FR,France,EURO,0,19992784,0,134050
2022-02-09,FR,France,EURO,0,19992784,0,134050
2022-02-10,FR,France,EURO,0,19992784,0,134050
2022-02-11,FR,France,EURO,0,19992784,0,134050
2022-02-12,FR,France,EURO,0,19992784,0,134050
2022-02-13,FR,France,EURO,958639,20951423,1988,136038
2022-02-14,FR,France,EURO,0,20951423,0,136038
2022-02-15,FR,France,EURO,0,20951423,0,136038
2022-02-16,FR,France,EURO,0,20951423,0,136038
2022-02-17,FR,France,EURO,0,20951423,0,136038
2022-02-18,FR,France,EURO,0,20951423,0,136038
2022-02-19,FR,France,EURO,0,20951423,0,136038
