Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-04,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-05,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-06,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-07,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-08,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-09,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-10,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-11,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-12,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-13,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-14,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-15,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-16,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-17,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-18,KR,Republic of Korea,WPRO,0,0,0,0
2020-01-19,KR,Republic of Korea,WPRO,1,1,0,0
2020-01-20,KR,Republic of Korea,WPRO,0,1,0,0
2020-01-21,KR,Republic of Korea,WPRO,0,1,0,0
2020-01-22,KR,Republic of Korea,WPRO,0,1,0,0
2020-01-23,KR,Republic of Korea,WPRO,0,1,0,0
2020-01-24,KR,Republic of Korea,WPRO,1,2,0,0
2020-01-25,KR,Republic of Korea,WPRO,0,2,0,0
2020-01-26,KR,Republic of Korea,WPRO,1,3,0,0
2020-01-27,KR,Republic of Korea,WPRO,1,4,0,0
2020-01-28,KR,Republic of Korea,WPRO,0,4,0,0
2020-01-29,KR,Republic of Korea,WPRO,0,4,0,0
2020-01-30,KR,Republic of Korea,WPRO,3,7,0,0
2020-01-31,KR,Republic of Korea,WPRO,4,11,0,0
2020-02-01,KR,Republic of Korea,WPRO,1,12,0,0
2020-02-02,KR,Republic of Korea,WPRO,3,15,0,0
2020-02-03,KR,Republic of Korea,WPRO,0,15,0,0
2020-02-04,KR,Republic of Korea,WPRO,1,16,0,0
2020-02-05,KR,Republic of Korea,WPRO,5,21,0,0
2020-02-06,KR,Republic of Korea,WPRO,3,24,0,0
2020-02-07,KR,Republic of Korea,WPRO,0,24,0,0
2020-02-08,KR,Republic of Korea,WPRO,0,24,0,0
2020-02-09,KR,Republic of Korea,WPRO,3,27,0,0
2020-02-10,KR,Republic of Korea,WPRO,1,28,0,0
2020-02-11,KR,Republic of Korea,WPRO,0,28,0,0
2020-02-12,KR,Republic of Korea,WPRO,0,28,0,0
2020-02-13,KR,Republic of Korea,WPRO,0,28,0,0
2020-02-14,KR,Republic of Korea,WPRO,0,28,0,0
2020-02-15,KR,Republic of Korea,WPRO,0,28,0,0
2020-02-16,KR,Republic of Korea,WPRO,2,30,0,0
2020-02-17,KR,Republic of Korea,WPRO,0,30,0,0
2020-02-18,KR,Republic of Korea,WPRO,2,32,0,0
2020-02-19,KR,Republic of Korea,WPRO,34,66,0,0
2020-02-20,KR,Republic of Korea,WPRO,16,82,1,1
2020-02-21,KR,Republic of Korea,WPRO,74,156,0,1
2020-02-22,KR,Republic of Korea,WPRO,190,346,2,3
2020-02-23,KR,Republic of Korea,WPRO,210,556,0,3
2020-02-24,KR,Republic of Korea,WPRO,207,763,4,7
2020-02-25,KR,Republic of Korea,WPRO,130,893,1,8
2020-02-26,KR,Republic of Korea,WPRO,253,1146,3,11
2020-02-27,KR,Republic of Korea,WPRO,449,1595,1,12
2020-02-28,KR,Republic of Korea,WPRO,427,2022,1,13
2020-02-29,KR,Republic of Korea,WPRO,909,2931,3,16
2020-03-01,KR,Republic of Korea,WPRO,595,3526,1,17
2020-03-02,KR,Republic of Korea,WPRO,686,4212,6,23
2020-03-03,KR,Republic of Korea,WPRO,600,4812,5,28
2020-03-04,KR,Republic of Korea,WPRO,516,5328,4,32
2020-03-05,KR,Republic of Korea,WPRO,438,5766,3,35
2020-03-06,KR,Republic of Korea,WPRO,518,6284,7,42
2020-03-07,KR,Republic of Korea,WPRO,483,6767,2,44
2020-03-08,KR,Republic of Korea,WPRO,367,7134,6,50
