Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-01-01,IN,India,SEARO,22775,34861579,406,481486
2022-01-02,IN,India,SEARO,27553,34889132,284,481770
2022-01-03,IN,India,SEARO,33750,34922882,123,481893
2022-01-04,IN,India,SEARO,37379,34960261,124,482017
2022-01-05,IN,India,SEARO,58097,35018358,534,482551
2022-01-06,IN,India,SEARO,90928,35109286,325,482876
2022-01-07,IN,India,SEARO,117100,35226386,302,483178
2022-01-08,IN,India,SEARO,141986,35368372,285,483463
2022-01-09,IN,India,SEARO,159632,35528004,327,483790
2022-01-10,IN,India,SEARO,179723,35707727,146,483936
2022-01-11,IN,India,SEARO,168063,35875790,277,484213
2022-01-12,IN,India,SEARO,194720,36070510,442,484655
2022-01-13,IN,India,SEARO,247417,36317927,380,485035
2022-01-14,IN,India,SEARO,264202,36582129,315,485350
2022-01-15,IN,India,SEARO,268833,36850962,402,485752
2022-01-16,IN,India,SEARO,271202,37122164,314,486066
2022-01-17,IN,India,SEARO,258089,37380253,385,486451
2022-01-18,IN,India,SEARO,238018,37618271,310,486761
2022-01-19,IN,India,SEARO,282970,37901241,441,487202
2022-01-20,IN,India,SEARO,317532,38218773,491,487693
2022-01-21,IN,India,SEARO,347254,38566027,703,488396
2022-01-22,IN,India,SEARO,337704,38903731,488,488884
2022-01-23,IN,India,SEARO,333533,39237264,525,489409
2022-01-24,IN,India,SEARO,306064,39543328,439,489848
2022-01-25,IN,India,SEARO,255874,39799202,614,490462
2022-01-26,IN,India,SEARO,285914,40085116,665,491127
2022-01-27,IN,India,SEARO,286384,40371500,573,491700
2022-01-28,IN,India,SEARO,251209,40622709,627,492327
2022-01-29,IN,India,SEARO,235532,40858241,871,493198
2022-01-30,IN,India,SEARO,234281,41092522,893,494091
2022-01-31,IN,India,SEARO,209918,41302440,959,495050
2022-02-01,IN,India,SEARO,167059,41469499,1192,496242
2022-02-02,IN,India,SEARO,161386,41630885,1733,497975
2022-02-03,IN,India,SEARO,172433,41803318,1008,498983
2022-02-04,IN,India,SEARO,149394,41952712,1072,500055
2022-02-05,IN,India,SEARO,127952,42080664,1059,501114
2022-02-06,IN,India,SEARO,107474,42188138,865,501979
2022-02-07,IN,India,SEARO,83876,42272014,895,502874
2022-02-08,IN,India,SEARO,67597,42339611,1188,504062
2022-02-09,IN,India,SEARO,71365,42410976,1217,505279
2022-02-10,IN,India,SEARO,67084,42478060,1241,506520
2022-02-11,IN,India,SEARO,58077,42536137,657,507177
2022-02-12,IN,India,SEARO,50407,42586544,804,507981
2022-02-13,IN,India,SEARO,44877,42631421,684,508665
2022-02-14,IN,India,SEARO,34113,42665534,346,509011
2022-02-15,IN,India,SEARO,27409,42692943,347,509358
2022-02-16,IN,India,SEARO,30615,42723558,514,509872
2022-02-17,IN,India,SEARO,30757,42754315,541,510413
2022-02-18,IN,India,SEARO,25920,42780235,492,510905
2022-02-19,IN,India,SEARO,22270,42802505,325,511230
2022-02-20,IN,India,SEARO,19968,42822473,673,511903
2022-02-21,IN,India,SEARO,16051,42838524,206,512109
2022-02-22,IN,India,SEARO,13405,42851929,235,512344
2022-02-23,IN,India,SEARO,15102,42867031,278,512622
2022-02-24,IN,India,SEARO,14148,42881179,302,512924
2022-02-25,IN,India,SEARO,13166,42894345,302,513226
2022-02-26,IN,India,SEARO,11499,42905844,255,513481
2022-02-27,IN,India,SEARO,10273,42916117,243,513724
2022-02-28,IN,India,SEARO,8013,42924130,119,513843
2022-03-01,IN,India,SEARO,6915,42931045,180,514023
2022-03-02,IN,India,SEARO,7554,42938599,223,514246
2022-03-03,IN,India,SEARO,6561,42945160,142,514388
2022-03-04,IN,India,SEARO,6396,42951556,201,514589
2022-03-05,IN,India,SEARO,5921,42957477,289,514878
2022-03-06,IN,India,SEARO,5476,42962953,158,515036
2022-03-07,IN,India,SEARO,4362,42967315,66,515102
2022-03-08,IN,India,SEARO,3993,42971308,108,515210
2022-03-09,IN,India,SEARO,4575,42975883,145,515355
2022-03-10,IN,India,SEARO,4184,42980067,104,515459
2022-03-11,IN,India,SEARO,4194,42984261,255,515714
2022-03-12,IN,India,SEARO,3614,42987875,89,515803
2022-03-13,IN,India,SEARO,3116,42990991,47,515850
2022-03-14,IN,India,SEARO,2503,42993494,27,515877
2022-03-15,IN,India,SEARO,2568,42996062,97,515974
2022-03-16,IN,India,SEARO,2876,42998938,98,516072
2022-03-17,IN,India,SEARO,2539,43001477,60,516132
2022-03-18,IN,India,SEARO,2528,43004005,149,516281
2022-03-19,IN,India,SEARO,2075,43006080,71,516352
2022-03-20,IN,India,SEARO,1761,43007841,127,516479
2022-03-21,IN,India,SEARO,1549,43009390,31,516510
2022-03-22,IN,India,SEARO,1581,43010971,33,516543
2022-03-23,IN,India,SEARO,1778,43012749,62,516605
2022-03-24,IN,India,SEARO,1938,43014687,67,516672
2022-03-25,IN,India,SEARO,1685,43016372,83,516755
2022-03-26,IN,India,SEARO,1660,43018032,4100,520855
2022-03-27,IN,India,SEARO,1421,43019453,149,521004
2022-03-28,IN,India,SEARO,1270,43020723,31,521035
2022-03-29,IN,India,SEARO,1259,43021982,35,521070
2022-03-30,IN,India,SEARO,1233,43023215,31,521101
2022-03-31,IN,India,SEARO,1225,43024440,28,521129
2022-04-01,IN,India,SEARO,1335,43025775,52,521181
2022-04-02,IN,India,SEARO,1260,43027035,83,521264
2022-04-03,IN,India,SEARO,1096,43028131,81,521345
2022-04-04,IN,India,SEARO,913,43029044,13,521358
2022-04-05,IN,India,SEARO,795,43029839,58,521416
2022-04-06,IN,India,SEARO,1086,43030925,71,521487
2022-04-07,IN,India,SEARO,1033,43031958,43,521530
2022-04-08,IN,India,SEARO,1109,43033067,43,521573
2022-04-09,IN,India,SEARO,1150,43034217,83,521656
2022-04-10,IN,India,SEARO,1054,43035271,29,521685
2022-04-11,IN,India,SEARO,861,43036132,6,521691
2022-04-12,IN,India,SEARO,796,43036928,19,521710
2022-04-13,IN,India,SEARO,1088,43038016,26,521736
2022-04-14,IN,India,SEARO,1007,43039023,1,521737
2022-04-15,IN,India,SEARO,949,43039972,6,521743
2022-04-16,IN,India,SEARO,975,43040947,4,521747
2022-04-17,IN,India,SEARO,1150,43042097,4,521751
2022-04-18,IN,India,SEARO,2183,43044280,214,521965
2022-04-19,IN,India,SEARO,1247,43045527,1,521966
2022-04-20,IN,India,SEARO,2067,43047594,40,522006
2022-04-21,IN,India,SEARO,2380,43049974,56,522062
2022-04-22,IN,India,SEARO,2451,43052425,54,522116
2022-04-23,IN,India,SEARO,2527,43054952,33,522149
2022-04-24,IN,India,SEARO,2593,43057545,44,522193
2022-04-25,IN,India,SEARO,2541,43060086,30,522223
2022-04-26,IN,India,SEARO,2483,43062569,1399,523622
2022-04-27,IN,India,SEARO,2927,43065496,32,523654
2022-04-28,IN,India,SEARO,3303,43068799,39,523693
2022-04-29,IN,India,SEARO,3377,43072176,60,523753
2022-04-30,IN,India,SEARO,3688,43075864,50,523803
2022-05-01,IN,India,SEARO,3324,43079188,40,523843
2022-05-02,IN,India,SEARO,3157,43082345,26,523869
2022-05-03,IN,India,SEARO,2568,43084913,20,523889
2022-05-04,IN,India,SEARO,3205,43088118,31,523920
2022-05-05,IN,India,SEARO,3275,43091393,55,523975
2022-05-06,IN,India,SEARO,3545,43094938,27,524002
2022-05-07,IN,India,SEARO,3805,43098743,22,524024
2022-05-08,IN,India,SEARO,3451,43102194,40,524064
2022-05-09,IN,India,SEARO,3207,43105401,29,524093
2022-05-10,IN,India,SEARO,2288,43107689,10,524103
2022-05-11,IN,India,SEARO,2897,43110586,54,524157
2022-05-12,IN,India,SEARO,2827,43113413,24,524181
2022-05-13,IN,India,SEARO,2841,43116254,9,524190
2022-05-14,IN,India,SEARO,2858,43119112,11,524201
2022-05-15,IN,India,SEARO,2487,43121599,13,524214
2022-05-16,IN,India,SEARO,2202,43123801,27,524241
2022-05-17,IN,India,SEARO,1569,43125370,19,524260
2022-05-18,IN,India,SEARO,1829,43127199,33,524293
2022-05-19,IN,India,SEARO,2364,43129563,10,524303
2022-05-20,IN,India,SEARO,2259,43131822,20,524323
2022-05-21,IN,India,SEARO,2323,43134145,25,524348
2022-05-22,IN,India,SEARO,2226,43136371,65,524413
2022-05-23,IN,India,SEARO,2022,43138393,46,524459
2022-05-24,IN,India,SEARO,1675,43140068,31,524490
2022-05-25,IN,India,SEARO,2124,43142192,17,524507
2022-05-26,IN,India,SEARO,2628,43144820,18,524525
2022-05-27,IN,India,SEARO,2710,43147530,14,524539
2022-05-28,IN,India,SEARO,2685,43150215,33,524572
2022-05-29,IN,India,SEARO,2828,43153043,14,524586
2022-05-30,IN,India,SEARO,2706,43155749,25,524611
2022-05-31,IN,India,SEARO,2338,43158087,19,524630
2022-06-01,IN,India,SEARO,2745,43160832,6,524636
2022-06-02,IN,India,SEARO,3712,43164544,5,524641
2022-06-03,IN,India,SEARO,4041,43168585,10,524651
2022-06-04,IN,India,SEARO,3962,43172547,26,524677
2022-06-05,IN,India,SEARO,4270,43176817,15,524692
2022-06-06,IN,India,SEARO,4518,43181335,9,524701
2022-06-07,IN,India,SEARO,3714,43185049,7,524708
2022-06-08,IN,India,SEARO,5233,43190282,7,524715
2022-06-09,IN,India,SEARO,7240,43197522,8,524723
2022-06-10,IN,India,SEARO,7584,43205106,24,524747
2022-06-11,IN,India,SEARO,8329,43213435,10,524757
2022-06-12,IN,India,SEARO,8582,43222017,4,524761
2022-06-13,IN,India,SEARO,8084,43230101,10,524771
2022-06-14,IN,India,SEARO,6594,43236695,6,524777
2022-06-15,IN,India,SEARO,8822,43245517,15,524792
2022-06-16,IN,India,SEARO,12213,43257730,11,524803
2022-06-17,IN,India,SEARO,12847,43270577,14,524817
2022-06-18,IN,India,SEARO,13216,43283793,23,524840
2022-06-19,IN,India,SEARO,12899,43296692,15,524855
2022-06-20,IN,India,SEARO,12781,43309473,18,524873
2022-06-21,IN,India,SEARO,9923,43319396,17,524890
2022-06-22,IN,India,SEARO,12249,43331645,13,524903
2022-06-23,IN,India,SEARO,13313,43344958,38,524941
2022-06-24,IN,India,SEARO,17336,43362294,13,524954
2022-06-25,IN,India,SEARO,15940,43378234,20,524974
2022-06-26,IN,India,SEARO,11739,43389973,25,524999
2022-06-27,IN,India,SEARO,17073,43407046,21,525020
2022-06-28,IN,India,SEARO,11793,43418839,27,525047
2022-06-29,IN,India,SEARO,14506,43433345,30,525077
2022-06-30,IN,India,SEARO,18819,43452164,39,525116
2022-07-01,IN,India,SEARO,17070,43469234,23,525139
2022-07-02,IN,India,SEARO,17092,43486326,29,525168
2022-07-03,IN,India,SEARO,16103,43502429,31,525199
2022-07-04,IN,India,SEARO,16135,43518564,24,525223
2022-07-05,IN,India,SEARO,13086,43531650,19,525242
2022-07-06,IN,India,SEARO,16159,43547809,28,525270
2022-07-07,IN,India,SEARO,18930,43566739,35,525305
2022-07-08,IN,India,SEARO,18815,43585554,38,525343
2022-07-09,IN,India,SEARO,18840,43604394,43,525386
2022-07-10,IN,India,SEARO,18257,43622651,42,525428
2022-07-11,IN,India,SEARO,16678,43639329,26,525454
2022-07-12,IN,India,SEARO,13615,43652944,20,525474
2022-07-13,IN,India,SEARO,16906,43669850,45,525519
2022-07-14,IN,India,SEARO,20139,43689989,38,525557
2022-07-15,IN,India,SEARO,20038,43710027,47,525604
2022-07-16,IN,India,SEARO,20044,43730071,56,525660
2022-07-17,IN,India,SEARO,20528,43750599,49,525709
2022-07-18,IN,India,SEARO,16935,43767534,51,525760
2022-07-19,IN,India,SEARO,15528,43783062,25,525785
2022-07-20,IN,India,SEARO,20557,43803619,40,525825
2022-07-21,IN,India,SEARO,21566,43825185,45,525870
2022-07-22,IN,India,SEARO,21880,43847065,60,525930
2022-07-23,IN,India,SEARO,21411,43868476,67,525997
2022-07-24,IN,India,SEARO,20279,43888755,36,526033
2022-07-25,IN,India,SEARO,16866,43905621,41,526074
2022-07-26,IN,India,SEARO,14830,43920451,36,526110
2022-07-27,IN,India,SEARO,18313,43938764,57,526167
2022-07-28,IN,India,SEARO,20557,43959321,45,526212
2022-07-29,IN,India,SEARO,20409,43979730,46,526258
2022-07-30,IN,India,SEARO,20408,44000138,54,526312
2022-07-31,IN,India,SEARO,19673,44019811,45,526357
2022-08-01,IN,India,SEARO,16464,44036275,39,526396
2022-08-02,IN,India,SEARO,13734,44050009,34,526430
2022-08-03,IN,India,SEARO,17135,44067144,47,526477
2022-08-04,IN,India,SEARO,19893,44087037,53,526530
2022-08-05,IN,India,SEARO,20551,44107588,70,526600
2022-08-06,IN,India,SEARO,19406,44126994,49,526649
2022-08-07,IN,India,SEARO,18738,44145732,40,526689
2022-08-08,IN,India,SEARO,16167,44161899,41,526730
2022-08-09,IN,India,SEARO,12751,44174650,42,526772
2022-08-10,IN,India,SEARO,16047,44190697,54,526826
2022-08-11,IN,India,SEARO,16299,44206996,53,526879
2022-08-12,IN,India,SEARO,16561,44223557,49,526928
2022-08-13,IN,India,SEARO,15815,44239372,68,526996
2022-08-14,IN,India,SEARO,14092,44253464,41,527037
2022-08-15,IN,India,SEARO,14917,44268381,32,527069
2022-08-16,IN,India,SEARO,8813,44277194,29,527098
2022-08-17,IN,India,SEARO,9062,44286256,36,527134
2022-08-18,IN,India,SEARO,12608,44298864,72,527206
2022-08-19,IN,India,SEARO,15754,44314618,47,527253
2022-08-20,IN,India,SEARO,13272,44327890,36,527289
2022-08-21,IN,India,SEARO,11539,44339429,43,527332
2022-08-22,IN,India,SEARO,9531,44348960,36,527368
2022-08-23,IN,India,SEARO,8586,44357546,48,527416
2022-08-24,IN,India,SEARO,10649,44368195,36,527452
2022-08-25,IN,India,SEARO,10725,44378920,36,527488
2022-08-26,IN,India,SEARO,10256,44389176,68,527556
2022-08-27,IN,India,SEARO,9520,44398696,41,527597
2022-08-28,IN,India,SEARO,9436,44408132,157,527754
2022-08-29,IN,India,SEARO,7591,44415723,45,527799
2022-08-30,IN,India,SEARO,5439,44421162,30,527829
2022-08-31,IN,India,SEARO,7231,44428393,45,527874
2022-09-01,IN,India,SEARO,7946,44436339,37,527911
2022-09-02,IN,India,SEARO,6168,44442507,21,527932
2022-09-03,IN,India,SEARO,7211,44449718,25,527957
2022-09-04,IN,India,SEARO,6817,44456535,34,527991
2022-09-05,IN,India,SEARO,5910,44462445,16,528007
2022-09-06,IN,India,SEARO,4417,44466862,23,528030
2022-09-07,IN,India,SEARO,5379,44472241,27,528057
2022-09-08,IN,India,SEARO,6395,44478636,33,528090
2022-09-09,IN,India,SEARO,6093,44484729,31,528121
2022-09-10,IN,India,SEARO,5554,44490283,18,528139
2022-09-11,IN,India,SEARO,5076,44495359,11,528150
2022-09-12,IN,India,SEARO,5221,44500580,15,528165
2022-09-13,IN,India,SEARO,4369,44504949,20,528185
2022-09-14,IN,India,SEARO,5108,44510057,31,528216
2022-09-15,IN,India,SEARO,6422,44516479,34,528250
2022-09-16,IN,India,SEARO,6298,44522777,23,528273
2022-09-17,IN,India,SEARO,5747,44528524,29,528302
2022-09-18,IN,India,SEARO,5664,44534188,35,528337
2022-09-19,IN,India,SEARO,4858,44539046,18,528355
2022-09-20,IN,India,SEARO,4043,44543089,15,528370
2022-09-21,IN,India,SEARO,4510,44547599,33,528403
2022-09-22,IN,India,SEARO,5443,44553042,26,528429
2022-09-23,IN,India,SEARO,5383,44558425,20,528449
2022-09-24,IN,India,SEARO,4912,44563337,38,528487
2022-09-25,IN,India,SEARO,4777,44568114,23,528510
2022-09-26,IN,India,SEARO,4129,44572243,20,528530
2022-09-27,IN,India,SEARO,3230,44575473,32,528562
2022-09-28,IN,India,SEARO,3615,44579088,22,528584
2022-09-29,IN,India,SEARO,4272,44583360,27,528611
2022-09-30,IN,India,SEARO,3947,44587307,18,528629
2022-10-01,IN,India,SEARO,3805,44591112,26,528655
2022-10-02,IN,India,SEARO,3375,44594487,18,528673
2022-10-03,IN,India,SEARO,3011,44597498,28,528701
2022-10-04,IN,India,SEARO,1968,44599466,15,528716
2022-10-05,IN,India,SEARO,2468,44601934,17,528733
2022-10-06,IN,India,SEARO,2529,44604463,12,528745
2022-10-07,IN,India,SEARO,1997,44606460,9,528754
2022-10-08,IN,India,SEARO,2797,44609257,24,528778
2022-10-09,IN,India,SEARO,2756,44612013,21,528799
2022-10-10,IN,India,SEARO,2424,44614437,15,528814
2022-10-11,IN,India,SEARO,1957,44616394,8,528822
2022-10-12,IN,India,SEARO,2139,44618533,13,528835
2022-10-13,IN,India,SEARO,2786,44621319,12,528847
2022-10-14,IN,India,SEARO,2678,44623997,10,528857
2022-10-15,IN,India,SEARO,2430,44626427,17,528874
2022-10-16,IN,India,SEARO,2401,44628828,21,528895
2022-10-17,IN,India,SEARO,2060,44630888,10,528905
2022-10-18,IN,India,SEARO,1542,44632430,8,528913
2022-10-19,IN,India,SEARO,1946,44634376,10,528923
2022-10-20,IN,India,SEARO,2141,44636517,20,528943
2022-10-21,IN,India,SEARO,2119,44638636,10,528953
2022-10-22,IN,India,SEARO,2112,44640748,4,528957
2022-10-23,IN,India,SEARO,1994,44642742,4,528961
2022-10-24,IN,India,SEARO,1334,44644076,16,528977
2022-10-25,IN,India,SEARO,862,44644938,3,528980
2022-10-26,IN,India,SEARO,830,44645768,1,528981
2022-10-27,IN,India,SEARO,1112,44646880,6,528987
2022-10-28,IN,India,SEARO,2208,44649088,12,528999
2022-10-29,IN,India,SEARO,1574,44650662,9,529008
2022-10-30,IN,India,SEARO,1604,44652266,8,529016
2022-10-31,IN,India,SEARO,1326,44653592,8,529024
2022-11-01,IN,India,SEARO,1046,44654638,53,529077
2022-11-02,IN,India,SEARO,1190,44655828,1375,530452
2022-11-03,IN,India,SEARO,1321,44657149,9,530461
2022-11-04,IN,India,SEARO,1216,44658365,18,530479
2022-11-05,IN,India,SEARO,1082,44659447,7,530486
2022-11-06,IN,India,SEARO,1132,44660579,14,530500
2022-11-07,IN,India,SEARO,937,44661516,9,530509
2022-11-08,IN,India,SEARO,625,44662141,0,530509
2022-11-09,IN,India,SEARO,811,44662952,2,530511
2022-11-10,IN,India,SEARO,1016,44663968,3,530514
2022-11-11,IN,India,SEARO,842,44664810,6,530520
2022-11-12,IN,India,SEARO,833,44665643,8,530528
2022-11-13,IN,India,SEARO,734,44666377,3,530531
2022-11-14,IN,India,SEARO,547,44666924,1,530532
2022-11-15,IN,India,SEARO,-749,44666175,1,530533
2022-11-16,IN,India,SEARO,501,44666676,2,530535
2022-11-17,IN,India,SEARO,635,44667311,11,530546
2022-11-18,IN,India,SEARO,656,44667967,7,530553
2022-11-19,IN,India,SEARO,556,44668523,17,530570
2022-11-20,IN,India,SEARO,492,44669015,4,530574
2022-11-21,IN,India,SEARO,406,44669421,12,530586
2022-11-22,IN,India,SEARO,294,44669715,5,530591
2022-11-23,IN,India,SEARO,360,44670075,5,530596
2022-11-24,IN,India,SEARO,408,44670483,5,530601
2022-11-25,IN,India,SEARO,347,44670830,3,530604
2022-11-26,IN,India,SEARO,389,44671219,4,530608
2022-11-27,IN,India,SEARO,343,44671562,4,530612
2022-11-28,IN,India,SEARO,291,44671853,2,530614
2022-11-29,IN,India,SEARO,215,44672068,1,530615
2022-11-30,IN,India,SEARO,279,44672347,5,530620
2022-12-01,IN,India,SEARO,291,44672638,2,530622
2022-12-02,IN,India,SEARO,275,44672913,2,530624
2022-12-03,IN,India,SEARO,253,44673166,3,530627
2022-12-04,IN,India,SEARO,226,44673392,1,530628
2022-12-05,IN,India,SEARO,226,44673618,2,530630
2022-12-06,IN,India,SEARO,165,44673783,3,530633
2022-12-07,IN,India,SEARO,166,44673949,5,530638
2022-12-08,IN,India,SEARO,241,44674190,9,530647
2022-12-09,IN,India,SEARO,249,44674439,6,530653
2022-12-10,IN,India,SEARO,210,44674649,1,530654
2022-12-11,IN,India,SEARO,173,44674822,4,530658
2022-12-12,IN,India,SEARO,159,44674981,0,530658
2022-12-13,IN,India,SEARO,114,44675095,0,530658
2022-12-14,IN,India,SEARO,152,44675247,0,530658
2022-12-15,IN,India,SEARO,200,44675447,5,530663
2022-12-16,IN,India,SEARO,162,44675609,0,530663
2022-12-17,IN,India,SEARO,167,44675776,4,530667
2022-12-18,IN,India,SEARO,176,44675952,5,530672
2022-12-19,IN,India,SEARO,135,44676087,2,530674
2022-12-20,IN,India,SEARO,112,44676199,3,530677
2022-12-21,IN,India,SEARO,131,44676330,3,530680
2022-12-22,IN,India,SEARO,185,44676515,1,530681
2022-12-23,IN,India,SEARO,163,44676678,9,530690
2022-12-24,IN,India,SEARO,201,44676879,1,530691
2022-12-25,IN,India,SEARO,227,44677106,2,530693
2022-12-26,IN,India,SEARO,196,44677302,2,530695
2022-12-27,IN,India,SEARO,157,44677459,1,530696
2022-12-28,IN,India,SEARO,188,44677647,0,530696
2022-12-29,IN,India,SEARO,268,44677915,2,530698
2022-12-30,IN,India,SEARO,243,44678158,1,530699
2022-12-31,IN,India,SEARO,226,44678384,3,530702
