Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-01-01,JP,Japan,WPRO,504,1734292,0,18393
2022-01-02,JP,Japan,WPRO,516,1734808,2,18395
2022-01-03,JP,Japan,WPRO,783,1735591,1,18396
2022-01-04,JP,Japan,WPRO,1256,1736847,1,18397
2022-01-05,JP,Japan,WPRO,2506,1739353,1,18398
2022-01-06,JP,Japan,WPRO,4194,1743547,0,18398
2022-01-07,JP,Japan,WPRO,5983,1749530,2,18400
2022-01-08,JP,Japan,WPRO,7930,1757460,2,18402
2022-01-09,JP,Japan,WPRO,8144,1765604,1,18403
2022-01-10,JP,Japan,WPRO,6394,1771998,2,18405
2022-01-11,JP,Japan,WPRO,6829,1778827,2,18407
2022-01-12,JP,Japan,WPRO,12243,1791070,5,18412
2022-01-13,JP,Japan,WPRO,17940,1809010,2,18414
2022-01-14,JP,Japan,WPRO,21241,1830251,11,18425
2022-01-15,JP,Japan,WPRO,22707,1852958,6,18431
2022-01-16,JP,Japan,WPRO,26881,1879839,2,18433
2022-01-17,JP,Japan,WPRO,23351,1903190,1,18434
2022-01-18,JP,Japan,WPRO,29862,1933052,10,18444
2022-01-19,JP,Japan,WPRO,39841,1972893,13,18457
2022-01-20,JP,Japan,WPRO,44638,2017531,12,18469
2022-01-21,JP,Japan,WPRO,49531,2067062,9,18478
2022-01-22,JP,Japan,WPRO,54180,2121242,12,18490
2022-01-23,JP,Japan,WPRO,48411,2169653,16,18506
2022-01-24,JP,Japan,WPRO,47176,2216829,17,18523
2022-01-25,JP,Japan,WPRO,60933,2277762,36,18559
2022-01-26,JP,Japan,WPRO,69736,2347498,40,18599
2022-01-27,JP,Japan,WPRO,73945,2421443,43,18642
2022-01-28,JP,Japan,WPRO,80994,2502437,44,18686
2022-01-29,JP,Japan,WPRO,82159,2584596,43,18729
2022-01-30,JP,Japan,WPRO,85042,2669638,35,18764
2022-01-31,JP,Japan,WPRO,61190,2730828,28,18792
2022-02-01,JP,Japan,WPRO,80222,2811050,79,18871
2022-02-02,JP,Japan,WPRO,93388,2904438,78,18949
2022-02-03,JP,Japan,WPRO,103038,3007476,90,19039
2022-02-04,JP,Japan,WPRO,99299,3106775,92,19131
2022-02-05,JP,Japan,WPRO,100949,3207724,126,19257
2022-02-06,JP,Japan,WPRO,92865,3300589,67,19324
2022-02-07,JP,Japan,WPRO,71708,3372297,122,19446
2022-02-08,JP,Japan,WPRO,95945,3468242,141,19587
2022-02-09,JP,Japan,WPRO,97946,3566188,155,19742
2022-02-10,JP,Japan,WPRO,100097,3666285,175,19917
2022-02-11,JP,Japan,WPRO,98173,3764458,142,20059
2022-02-12,JP,Japan,WPRO,67506,3831964,143,20202
2022-02-13,JP,Japan,WPRO,80234,3912198,157,20359
2022-02-14,JP,Japan,WPRO,63581,3975779,135,20494
2022-02-15,JP,Japan,WPRO,79896,4055675,207,20701
2022-02-16,JP,Japan,WPRO,90522,4146197,253,20954
2022-02-17,JP,Japan,WPRO,95603,4241800,244,21198
2022-02-18,JP,Japan,WPRO,92939,4334739,235,21433
2022-02-19,JP,Japan,WPRO,77153,4411892,203,21636
2022-02-20,JP,Japan,WPRO,72861,4484753,185,21821
2022-02-21,JP,Japan,WPRO,55903,4540656,179,22000
2022-02-22,JP,Japan,WPRO,66373,4607029,272,22272
2022-02-23,JP,Japan,WPRO,77810,4684839,257,22529
2022-02-24,JP,Japan,WPRO,65657,4750496,226,22755
2022-02-25,JP,Japan,WPRO,65196,4815692,256,23011
2022-02-26,JP,Japan,WPRO,69661,4885353,259,23270
2022-02-27,JP,Japan,WPRO,69267,4954620,0,23270
2022-02-28,JP,Japan,WPRO,51272,5005892,363,23633
2022-03-01,JP,Japan,WPRO,61843,5067735,227,23860
2022-03-02,JP,Japan,WPRO,71570,5139305,232,24092
2022-03-03,JP,Japan,WPRO,70958,5210263,257,24349
2022-03-04,JP,Japan,WPRO,64333,5274596,255,24604
2022-03-05,JP,Japan,WPRO,63520,5338116,185,24789
2022-03-06,JP,Japan,WPRO,55417,5393533,146,24935
2022-03-07,JP,Japan,WPRO,40575,5434108,114,25049
2022-03-08,JP,Japan,WPRO,49416,5483524,232,25281
2022-03-09,JP,Japan,WPRO,62747,5546271,205,25486
2022-03-10,JP,Japan,WPRO,62825,5609096,211,25697
2022-03-11,JP,Japan,WPRO,55970,5665066,163,25860
2022-03-12,JP,Japan,WPRO,55328,5720394,169,26029
2022-03-13,JP,Japan,WPRO,52002,5772396,125,26154
2022-03-14,JP,Japan,WPRO,35846,5808242,108,26262
2022-03-15,JP,Japan,WPRO,45649,5853891,180,26442
2022-03-16,JP,Japan,WPRO,57922,5911813,158,26600
2022-03-17,JP,Japan,WPRO,55147,5966960,164,26764
2022-03-18,JP,Japan,WPRO,49246,6016206,155,26919
2022-03-19,JP,Japan,WPRO,45733,6061939,126,27045
2022-03-20,JP,Japan,WPRO,42151,6104090,0,27045
2022-03-21,JP,Japan,WPRO,27701,6131791,131,27176
2022-03-22,JP,Japan,WPRO,21420,6153211,70,27246
2022-03-23,JP,Japan,WPRO,36605,6189816,110,27356
2022-03-24,JP,Japan,WPRO,49063,6238879,129,27485
2022-03-25,JP,Japan,WPRO,48228,6287107,116,27601
2022-03-26,JP,Japan,WPRO,47047,6334154,98,27699
2022-03-27,JP,Japan,WPRO,43565,6377719,68,27767
2022-03-28,JP,Japan,WPRO,32916,6410635,64,27831
2022-03-29,JP,Japan,WPRO,41473,6452108,82,27913
2022-03-30,JP,Japan,WPRO,52765,6504873,97,28010
2022-03-31,JP,Japan,WPRO,48047,6552920,87,28097
2022-04-01,JP,Japan,WPRO,53544,6606464,103,28200
