Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-01-01,GB,The United Kingdom,EURO,236576,13678283,176,176989
2022-01-02,GB,The United Kingdom,EURO,188567,13866850,155,177144
2022-01-03,GB,The United Kingdom,EURO,118275,13985125,176,177320
2022-01-04,GB,The United Kingdom,EURO,181068,14166193,170,177490
2022-01-05,GB,The United Kingdom,EURO,229901,14396094,178,177668
2022-01-06,GB,The United Kingdom,EURO,275647,14671741,204,177872
2022-01-07,GB,The United Kingdom,EURO,222174,14893915,182,178054
2022-01-08,GB,The United Kingdom,EURO,172980,15066895,221,178275
2022-01-09,GB,The United Kingdom,EURO,120287,15187182,228,178503
2022-01-10,GB,The United Kingdom,EURO,93615,15280797,215,178718
2022-01-11,GB,The United Kingdom,EURO,95790,15376587,240,178958
2022-01-12,GB,The United Kingdom,EURO,132959,15509546,244,179202
2022-01-13,GB,The United Kingdom,EURO,115245,15624791,232,179434
2022-01-14,GB,The United Kingdom,EURO,103219,15728010,239,179673
2022-01-15,GB,The United Kingdom,EURO,96412,15824422,243,179916
2022-01-16,GB,The United Kingdom,EURO,86325,15910747,235,180151
2022-01-17,GB,The United Kingdom,EURO,77950,15988697,259,180410
2022-01-18,GB,The United Kingdom,EURO,98097,16086794,256,180666
2022-01-19,GB,The United Kingdom,EURO,131514,16218308,232,180898
2022-01-20,GB,The United Kingdom,EURO,118857,16337165,233,181131
2022-01-21,GB,The United Kingdom,EURO,111760,16448925,221,181352
2022-01-22,GB,The United Kingdom,EURO,100324,16549249,201,181553
2022-01-23,GB,The United Kingdom,EURO,91730,16640979,248,181801
2022-01-24,GB,The United Kingdom,EURO,81733,16722712,224,182025
2022-01-25,GB,The United Kingdom,EURO,102365,16825077,218,182243
2022-01-26,GB,The United Kingdom,EURO,127364,16952441,229,182472
2022-01-27,GB,The United Kingdom,EURO,113202,17065643,193,182665
2022-01-28,GB,The United Kingdom,EURO,108668,17174311,196,182861
