Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-01-01,US,United States of America,AMRO,584647,54118933,1334,820389
2022-01-02,US,United States of America,AMRO,471965,54590898,1344,821733
2022-01-03,US,United States of America,AMRO,302957,54893855,430,822163
2022-01-04,US,United States of America,AMRO,390858,55284713,374,822537
2022-01-05,US,United States of America,AMRO,902391,56187104,1672,824209
2022-01-06,US,United States of America,AMRO,732514,56919618,2840,827049
2022-01-07,US,United States of America,AMRO,702790,57622408,1846,828895
2022-01-08,US,United States of America,AMRO,798436,58420844,2088,830983
2022-01-09,US,United States of America,AMRO,852951,59273795,2466,833449
2022-01-10,US,United States of America,AMRO,448743,59722538,869,834318
2022-01-11,US,United States of America,AMRO,486541,60209079,699,835017
2022-01-12,US,United States of America,AMRO,1265520,61474599,1962,836979
2022-01-13,US,United States of America,AMRO,803539,62278138,3189,840168
2022-01-14,US,United States of America,AMRO,855880,63134018,2480,842648
2022-01-15,US,United States of America,AMRO,892303,64026321,2179,844827
2022-01-16,US,United States of America,AMRO,898407,64924728,3002,847829
2022-01-17,US,United States of America,AMRO,465957,65390685,1380,849209
2022-01-18,US,United States of America,AMRO,418737,65809422,873,850082
2022-01-19,US,United States of America,AMRO,968465,66777887,1453,851535
2022-01-20,US,United States of America,AMRO,856293,67634180,2642,854177
2022-01-21,US,United States of America,AMRO,780466,68414646,3259,857436
2022-01-22,US,United States of America,AMRO,776490,69191136,2901,860337
2022-01-23,US,United States of America,AMRO,776480,69967616,3800,864137
2022-01-24,US,United States of America,AMRO,328564,70296180,1218,865355
2022-01-25,US,United States of America,AMRO,314947,70611127,960,866315
2022-01-26,US,United States of America,AMRO,1011148,71622275,2784,869099
2022-01-27,US,United States of America,AMRO,493232,72115507,3530,872629
2022-01-28,US,United States of America,AMRO,545225,72660732,3409,876038
2022-01-29,US,United States of America,AMRO,572820,73233552,2898,878936
2022-01-30,US,United States of America,AMRO,523326,73756878,3604,882540
2022-01-31,US,United States of America,AMRO,222172,73979050,1516,884056
2022-02-01,US,United States of America,AMRO,158214,74137264,925,884981
2022-02-02,US,United States of America,AMRO,576521,74713785,2779,887760
2022-02-03,US,United States of America,AMRO,296458,75010243,4076,891836
2022-02-04,US,United States of America,AMRO,303405,75313648,3218,895054
2022-02-05,US,United States of America,AMRO,350050,75663698,2715,897769
2022-02-06,US,United States of America,AMRO,281890,75945588,3425,901194
2022-02-07,US,United States of America,AMRO,104762,76050350,1254,902448
2022-02-08,US,United States of America,AMRO,96578,76146928,714,903162
2022-02-09,US,United States of America,AMRO,305358,76452286,3301,906463
2022-02-10,US,United States of America,AMRO,197921,76650207,3804,910267
2022-02-11,US,United States of America,AMRO,196394,76846601,3005,913272
2022-02-12,US,United States of America,AMRO,165790,77012391,2579,915851
2022-02-13,US,United States of America,AMRO,155309,77167700,2893,918744
2022-02-14,US,United States of America,AMRO,67888,77235588,969,919713
2022-02-15,US,United States of America,AMRO,47904,77283492,727,920440
2022-02-16,US,United States of America,AMRO,174293,77457785,2973,923413
2022-02-17,US,United States of America,AMRO,108080,77565865,3370,926783
2022-02-18,US,United States of America,AMRO,105714,77671579,2708,929491
2022-02-19,US,United States of America,AMRO,100475,77772054,2316,931807
2022-02-20,US,United States of America,AMRO,103802,77875856,2309,934116
2022-02-21,US,United States of America,AMRO,40797,77916653,716,934832
2022-02-22,US,United States of America,AMRO,31174,77947827,588,935420
2022-02-23,US,United States of America,AMRO,48413,77996240,1100,936520
2022-02-24,US,United States of America,AMRO,115022,78111262,3252,939772
2022-02-25,US,United States of America,AMRO,73662,78184924,2611,942383
2022-02-26,US,United States of America,AMRO,75062,78259986,2488,944871
2022-02-27,US,United States of America,AMRO,74142,78334128,2291,947162
2022-02-28,US,United States of America,AMRO,25662,78359790,576,947738
2022-03-01,US,United States of America,AMRO,18169,78377959,360,948098
2022-03-02,US,United States of America,AMRO,76237,78454196,2302,950400
2022-03-03,US,United States of America,AMRO,63819,78518015,1971,952371
2022-03-04,US,United States of America,AMRO,52784,78570799,1536,953907
2022-03-05,US,United States of America,AMRO,51622,78622421,1364,955271
2022-03-06,US,United States of America,AMRO,44216,78666637,1569,956840
2022-03-07,US,United States of America,AMRO,14292,78680929,322,957162
2022-03-08,US,United States of America,AMRO,8941,78689870,367,957529
2022-03-09,US,United States of America,AMRO,57277,78747147,1530,959059
2022-03-10,US,United States of America,AMRO,31172,78778319,1735,960794
2022-03-11,US,United States of America,AMRO,46110,78824429,1957,962751
2022-03-12,US,United States of America,AMRO,39598,78864027,1258,964009
2022-03-13,US,United States of America,AMRO,36942,78900969,1437,965446
2022-03-14,US,United States of America,AMRO,12159,78913128,506,965952
2022-03-15,US,United States of America,AMRO,9126,78922254,195,966147
2022-03-16,US,United States of America,AMRO,60969,78983223,-2437,963710
2022-03-17,US,United States of America,AMRO,24495,79007718,1443,965153
2022-03-18,US,United States of America,AMRO,37828,79045546,1500,966653
2022-03-19,US,United States of America,AMRO,33159,79078705,1066,967719
2022-03-20,US,United States of America,AMRO,31004,79109709,972,968691
2022-03-21,US,United States of America,AMRO,9881,79119590,200,968891
2022-03-22,US,United States of America,AMRO,10038,79129628,150,969041
2022-03-23,US,United States of America,AMRO,38828,79168456,789,969830
2022-03-24,US,United States of America,AMRO,24771,79193227,937,970767
